date,product_id,supplier_id,warehouse_id,region,demand,inventory_level,units_sold,units_ordered,lead_time_actual,defect_rate,shipping_cost,stockout,category,unit_cost,lead_time_days,reorder_point,safety_stock,reliability_score,revenue,stockout_cost,holding_cost,day_of_week,month,quarter,year,is_weekend,late_delivery
2022-01-01,P001,S06,WH4,South,134,213,134,24,28,0.0537,140.76,0,Grocery,307.77,28,53,59,0.73,41241.18,0.0,13.111002,5,1,1,2022,1,0
2022-01-02,P001,S06,WH4,North,127,86,86,163,19,0.1119,102.51,1,Grocery,307.77,28,53,59,0.73,26468.219999999998,18927.855,5.293644,6,1,1,2022,1,0
2022-01-03,P001,S06,WH4,North,135,0,0,282,21,0.1189,42.51,1,Grocery,307.77,28,53,59,0.73,0.0,62323.424999999996,0.0,0,1,1,2022,0,0
2022-01-04,P001,S06,WH4,Central,94,0,0,72,27,0.0003,40.09,1,Grocery,307.77,28,53,59,0.73,0.0,43395.56999999999,0.0,1,1,1,2022,0,0
2022-01-05,P001,S06,WH4,West,129,0,0,167,23,0.0019,9.28,1,Grocery,307.77,28,53,59,0.73,0.0,59553.494999999995,0.0,2,1,1,2022,0,0
2022-01-06,P001,S06,WH4,North,141,0,0,68,34,0.0023,102.57,1,Grocery,307.77,28,53,59,0.73,0.0,65093.354999999996,0.0,3,1,1,2022,0,1
2022-01-07,P001,S06,WH4,South,164,0,0,93,10,0.1054,76.56,1,Grocery,307.77,28,53,59,0.73,0.0,75711.42,0.0,4,1,1,2022,0,0
2022-01-08,P001,S06,WH4,Central,124,299,124,173,3,0.0388,14.93,0,Grocery,307.77,28,53,59,0.73,38163.479999999996,0.0,18.404646,5,1,1,2022,1,0
2022-01-09,P001,S06,WH4,South,119,180,119,208,9,0.0096,53.37,0,Grocery,307.77,28,53,59,0.73,36624.63,0.0,11.07972,6,1,1,2022,1,0
2022-01-10,P001,S06,WH4,West,125,55,55,283,33,0.0828,96.39,1,Grocery,307.77,28,53,59,0.73,16927.35,32315.85,3.3854699999999998,0,1,1,2022,0,1
